 #vapor
STAT  iter  ns  T  P  lnK1  lnK2  lnK3  y1  y2  y3
 SOL          29           4   175.00000000000009        1767.0286588576760       0.47534470082050129       -6.8510908521493734       -18.301668706422650       0.99968790955315368        3.1208950489025031E-004   9.4195451621162748E-010
 SOL           2           3   175.27179876692841        1761.8103473651049       0.47534535128813332       -6.8531766281208046       -18.295787096176124       0.99968855981799243        3.1143923449494511E-004   9.4751105021134702E-010
 SOL           3           3   176.50096413973915        1738.7518725419591       0.47534825147548393       -6.8625296356983654       -18.269319850066765       0.99969145910631252        3.0853992076208526E-004   9.7292387867268397E-010
 SOL           3           3   180.24657644076504        1673.5757775267048       0.47535668081735355       -6.8902215905735744       -18.189918111738685       0.99969988588290148        3.0011306377133876E-004   1.0533255027827449E-009
 SOL           3           3   191.95856929532664        1509.9157697001126       0.47537936929754632       -6.9688091529845044       -17.951712896754447       0.99972256781126922        2.7743085209111019E-004   1.3366380184241514E-009
 SOL           3           3   201.13128651902124        1413.3811248446134       0.47539367809096622       -7.0217491432654606       -17.773058985516268       0.99973687273731215        2.6312566459257695E-004   1.5980936195178695E-009
 SOL           3           3   215.32166711851411        1301.1232692932228       0.47541070234415023       -7.0886215633966421       -17.505078118659000       0.99975389265582626        2.4610525494887401E-004   2.0892231491656818E-009
 SOL           3           3   226.16328548297429        1236.7785691719507       0.47542008354714438       -7.1274781458897047       -17.304092468516046       0.99976327159403033        2.3672585166875984E-004   2.5542993219435920E-009
 SOL           3           3   234.34007157916699        1197.1459259130113       0.47542532833400070       -7.1498792877384831       -17.153353230908834       0.99976851515304721        2.3148187708409471E-004   2.9698670445444189E-009
 SOL           3           3   246.60098501061469        1148.5520565580687       0.47543052812483544       -7.1725965535257021       -16.927244374498017       0.99977371375372504        2.2628252291517965E-004   3.7233583455186416E-009
 SOL           3           3   255.75079606008291        1118.8635819175470       0.47543248573034985       -7.1812864497867723       -16.757662732189900       0.99977567091817587        2.2432467035365337E-004   4.4114687521540109E-009
 SOL           3           3   269.34832845925513        1082.5251620331949       0.47543257236661080       -7.1816783453560511       -16.503290268727728       0.99977575753500558        2.2423677573314298E-004   5.6892597774955900E-009
 SOL           3           3   279.42408378215964        1060.2171611569149       0.47543055737267387       -7.1727397607027790       -16.312510921131096       0.99977374299494537        2.2625011995407480E-004   6.8850988917761912E-009
 SOL           3           3   286.90651301272072        1045.6384627310583       0.47542794341404587       -7.1612598162796619       -16.169426410433623       0.99977112963115955        2.2886242462370063E-004   7.9442151216524011E-009
 SOL           3           3   298.00955476870115        1026.5088512641307       0.47542231719984995       -7.1369874048508404       -15.954799644387414       0.99976550472046088        2.3448543348344582E-004   9.8460540630705778E-009
 SOL           3           3   306.24432339789564        1013.8939184657705       0.47541678329094311       -7.1136739949551089       -15.793829569852759       0.99975997212453804        2.4001630979480031E-004   1.1565665596913970E-008
 SOL           3           3   318.45678933645712        997.12124373708230       0.47540638457363471       -7.0712840205518956       -15.552374458050775       0.99974957595726510        2.5040931848100963E-004   1.4724252415801579E-008
 SOL           3           3   327.51488127602147        985.86855975874266       0.47539691485267349       -7.0341851295406537       -15.371283124199287       0.99974010865257601        2.5987370004290877E-004   1.7647379328360039E-008
 SOL           3           3   340.95809026365833        970.58378808872055       0.47537993408722473       -6.9709252569932643       -15.099646123422055       0.99972313244441624        2.7684440026821240E-004   2.3155313826935282E-008
 SOL           3           3   350.94171409117109        960.06966509494919       0.47536490334333004       -6.9180873228760271       -14.895918372839132       0.99970810597497661        2.9186563743272979E-004   2.8387589031967702E-008
 SOL           3           3   358.38163413156343        952.58800918875056       0.47535226134689673       -6.8757124876899702       -14.743122559901938       0.99969546774855300        3.0449917743288269E-004   3.3074012615907924E-008
 SOL           3           3   369.47592578142456        941.86145997334620       0.47533095117990004       -6.8081152609025581       -14.513928840496147       0.99967416429818023        3.2579410841506378E-004   4.1593403129670143E-008
 SOL           3           3   377.75295358745097        934.11409573206890       0.47531299028233998       -6.7544918497077235       -14.342033550941807       0.99965620941416533        3.4374119144277299E-004   4.9394390525597758E-008
 SOL           3           3   390.11254838084352        922.82715298182882       0.47528257800372409       -6.6697828253535674       -14.084190616610295       0.99962580805329415        3.7412802366802088E-004   6.3923036176637651E-008
 SOL           3           3   399.34802378307728        914.53851299914857       0.47525678258218040       -6.6031668016108123       -13.890808415861660       0.99960002261676406        3.9989982244557714E-004   7.7560788815476008E-008
 SOL           3           3   413.16343941568329        902.25654369205097       0.47521272771388967       -6.4987590374545388       -13.600735114738708       0.99955598633943754        4.4390999859251178E-004   1.0366196842614985E-007
 SOL           3           3   423.50675711719811        893.08515567279244       0.47517497749520027       -6.4172305389053657       -13.383180138896494       0.99951825359457513        4.8161755009656963E-004   1.2885532684382427E-007
 SOL           3           3   431.25960622457518        886.19434966112613       0.47514371778869985       -6.3544191679499322       -13.220013907014835       0.99948700943566993        5.1283887166708308E-004   1.5169266141777329E-007
 SOL           3           3   442.88895115020563        875.79596460544622       0.47509158111268585       -6.2577226269318089       -12.975264559192345       0.99943490086367448        5.6490537911831377E-004   1.9375720553159145E-007
 SOL           3           3   451.61605637344525        867.92176186015286       0.47504791920917694       -6.1833796608699148       -12.791702548325478       0.99939126458609795        6.0850261665842205E-004   2.3279724189319319E-007
 SOL           3           3   464.72344690544401        855.94737895199944       0.47497417444689688       -6.0691665144234523       -12.516359532025177       0.99931756743228928        6.8212597785184161E-004   3.0658985726086694E-007
 SOL           3           3   474.57270115483936        846.81267461998800       0.47491158518175580       -5.9815333787598455       -12.309852269799951       0.99925502283743173        7.4460024815137032E-004   3.7691441538216097E-007
 SOL           3           3   481.97276264755362        839.86367329488337       0.47486007571682060       -5.9147730519546791       -12.154971823131030       0.99920355307147302        7.9600687402090571E-004   4.4005450464940243E-007
 SOL           3           3   493.09724397358815        829.26880880226236       0.47477467259644746       -5.8130698782665959       -11.922651153127651       0.99911822161399100        8.8122324660199901E-004   5.5513940558897112E-007
 SOL           3           3   501.46189577564741        821.17916924175313       0.47470354950241250       -5.7356315776768367       -11.748410650625116       0.99904716376172020        9.5217543263251270E-004   6.6080564572940223E-007
 SOL           3           3   514.04632889776735        808.80104305948487       0.47458408330950241       -5.6177309953836030       -11.487049896871314       0.99892781852953016        1.0713232847596192E-003   8.5818570863970229E-007
 SOL           3           3   523.51599076016510        799.31812985678255       0.47448322816480720       -5.5280168331871247       -11.291029331555963       0.99882707660010861        1.1718793724150279E-003   1.0440274748670748E-006
 SOL           3           3   537.77321647207270        784.76343418657439       0.47431126855524730       -5.3915218970544920       -10.996998483582935       0.99865533345286406        1.3432656446592443E-003   1.4009024750979405E-006
 SOL           3           3   548.50854623052658        773.58282780048239       0.47416381135719415       -5.2877366873652214       -10.776475347603165       0.99850808539223235        1.4901680623483982E-003   1.7465454178422189E-006
 SOL           3           3   556.58394985152415        765.04749112912157       0.47404148009676844       -5.2091529172783666       -10.611082995618336       0.99838594411060178        1.6119952173989363E-003   2.0606719974790526E-006
 SOL           3           3   568.73489591070756        752.00398445272401       0.47383683688599793       -5.0901506775396976       -10.362994467641093       0.99818165210960919        1.8157069880074539E-003   2.6409023815612233E-006
 SOL           3           3   577.87702809514349        742.03350505657511       0.47366479863371319       -5.0000612464796825       -10.176928071658160       0.99800994145354172        1.9868775736439307E-003   3.1809728126418220E-006
 SOL           3           3   591.63415991249144        726.78121587483713       0.47337280785058922       -4.8636699045474172       -9.8978284776837633       0.99771857428950461        2.2772206584925035E-003   4.2050520013864906E-006
 SOL           3           3   601.98401918325419        715.11423280022109       0.47312361287381538       -4.7604490829619390       -9.6885037822029663       0.99746997880821675        2.5248370134679982E-003   5.1841783136915091E-006
 SOL           3           3   609.76269633432582        706.23983377723891       0.47291762707649537       -4.6825440629356931       -9.5315102605923663       0.99726453531927595        2.7293992541280207E-003   6.0654265943766629E-006
 SOL           3           3   621.45377900256392        692.73591263507728       0.47257441235850689       -4.5649461296701004       -9.2960199781764690       0.99692231818336463        3.0700058428758765E-003   7.6759737578786657E-006
 SOL           3           3   630.23760863380357        682.46271983523923       0.47228709028418425       -4.4761977647232136       -9.1194022663645455       0.99663592154097469        3.3549196800385524E-003   9.1587789850719730E-006
 SOL           3           3   643.43255024629286        666.83297321856753       0.47180170118347747       -4.3422527052472164       -8.8544756986466595       0.99615228271328915        3.8357803270702849E-003   1.1936959639078358E-005
 SOL           3           3   653.33907770622091        654.94871078423239       0.47138948849749024       -4.2411904286539119       -8.6557807728582468       0.99574174072630040        4.2436984536270705E-003   1.4560820070916195E-005
 SOL           3           3   660.77195171517644        645.95104593908832       0.47105003540826074       -4.1650775220402201       -8.5067595785169363       0.99540379047870897        4.5793088125366272E-003   1.6900708752639769E-005
 SOL           3           3   671.92143493222238        632.32959187214180       0.47048679094308160       -4.0504341226742078       -8.2832277870049698       0.99484329266656679        5.1355732439803767E-003   2.1134089451298380E-005
 SOL           3           3   680.28000867872413        622.02366932413520       0.47001734443565202       -3.9641033252861053       -8.1155789433709966       0.99437637656202682        5.5986319272960817E-003   2.4991510675534332E-005
 SOL           3           3   692.80469335286807        606.43782207542642       0.46922814782586053       -3.8340948045774392       -7.8641056779200360       0.99359192767970150        6.3759352738476981E-003   3.2137046449252208E-005
 SOL           3           3   702.18191367549900        594.66215266246172       0.46856137978376389       -3.7362199490382069       -7.6755007288318149       0.99292965315172077        7.0315393140555653E-003   3.8807534222111511E-005
 SOL           3           3   716.20960466405336        576.88752463372418       0.46742378092671810       -3.5888821431266100       -7.3925933051994841       0.99180073976020722        8.1477633284252875E-003   5.1496911365878763E-005
 SOL           3           3   726.28366746154404        564.01285801601318       0.46648798036068706       -3.4823362220529033       -7.1886733764486461       0.99087304620232819        9.0638082866958229E-003   6.3145510974301465E-005
 SOL           3           3   733.81409991190947        554.33313706263164       0.46571455900031511       -3.4022615745071496       -7.0357334298855179       0.99010698010710629        9.8194392705473980E-003   7.3580622344513526E-005
 SOL           3           3   745.06222546584513        539.79167470426910       0.46442629237479427       -3.2819202469694173       -6.8063235100408246       0.98883227958230535        1.1075166476040411E-002   9.2553941652596548E-005
 SOL           3           3   753.45544898322134        528.88063886824705       0.46334834587087143       -3.1915109038480090       -6.6342660701573042       0.98776694557325584        1.2123123847646895E-002   1.0993057909567502E-004
 SOL           3           3   765.96580132419876        512.52990202599995       0.46152863699182811       -3.0557035087409878       -6.3761799103320236       0.98597113171672646        1.3886568607407558E-002   1.4229967586441752E-004
 SOL           3           3   775.07753769875842        500.56093689937734       0.46001983738991675       -2.9559395481868953       -6.1867966692687819       0.98448462057140895        1.5343409699385550E-002   1.7196972920382146E-004
 SOL           3           3   788.62226894894525        482.68573227878761       0.45744155297888495       -2.8061962080484570       -5.9027218076739203       0.98194960861649327        1.7821924029347801E-002   2.2846735415732398E-004
 SOL           3           3   797.22463712624244        471.28718636678178       0.45556318625000092       -2.7101276369619418       -5.7205054248534788       0.98010687834564569        1.9618989662431040E-002   2.7413199192171376E-004
 SOL           3           3   809.98934845536121        454.31682767095288       0.45236860860653505       -2.5660748994724982       -5.4471808506228161       0.97698084665786089        2.2658854326037654E-002   3.6029901609977734E-004
 SOL           3           3   818.06975597725398        443.54394231667931       0.45005582628618362       -2.4738940972073116       -5.2721368781908771       0.97472391353192522        2.4846862754699477E-002   4.2922371337357582E-004
 SOL           3           3   830.04109086639346        427.54798515304560       0.44614128933905661       -2.3358055249407457       -5.0095709195429690       0.97091577916335825        2.8526117454401333E-002   5.5810338223870619E-004
 SOL           3           3   837.59518313483534        417.43614421128598       0.44332551811993748       -2.2476784522854469       -4.8417053887678003       0.96818574783179634        3.1154140015563367E-002   6.6011215263873523E-004
 SOL           3           3   848.77203333082321        402.45495446811674       0.43858260181645636       -2.1157901652557189       -4.5899070926050474       0.96360459646021546        3.5546277149359908E-002   8.4912639042303024E-004
 SOL           3           3   862.75249694260253        383.69244655456771       0.43149058201535395       -1.9481424409892734       -4.2685460657464480       0.95679486948320136        4.2034182381289475E-002   1.1709481355075236E-003
 SOL           3           3   875.91577030046244        366.01443539053741       0.42335169186843230       -1.7873956037428236       -3.9586391660502729       0.94903922512815175        4.9364423404274674E-002   1.5963514675720277E-003
 SOL           3           3   888.28226787637198        349.40567237262155       0.41408101782159934       -1.6336787067599055       -3.6601942276845318       0.94028164885455723        5.7566850376001316E-002   2.1515007694398462E-003
 SOL           3           3   899.87708250478215        333.84025106939447       0.40360080416057598       -1.4871014259519633       -3.3732197164071329       0.93047875421300630        6.6654607134367466E-002   2.8666386526245841E-003
 SOL           3           3   910.72892916549108        319.28396275731865       0.39184372825116698       -1.3477542608536492       -3.0977248097043768       0.91960310307273463        7.6621010958390204E-002   3.7758859688736992E-003
 SOL           3           3   920.86910633500543        305.69653128570440       0.37875642402345350       -1.2157082323540160       -2.8337194911625936       0.90764638873236347        8.7436897531869548E-002   4.9167137357652652E-003
 SOL           3           3   930.33053005810632        293.03360721897297       0.36430318173014281       -1.0910141590654299       -2.5812146623945909       0.89462230241966556        9.9048678907079940E-002   6.3290186732529114E-003
 SOL           3           3   939.14684740122254        281.24853612643932       0.34846972464233139      -0.97370149506890313       -2.3402222768221868       0.88056888923786059       0.11137736269247994        8.0537480696578796E-003
 SOL           3           3   947.35164479153161        270.29388196616770       0.33126694869903983      -0.86377680787026268       -2.1107555009514756       0.86555021178343372       0.12431874437368116        1.0131043842883408E-002
 SOL           3           3   954.97776067220923        260.12270302238625       0.31273449593796471      -0.76122200417586783       -1.8928289106248057       0.84965716679592795       0.13774492294200150        1.2597910262068775E-002
 SOL           4           3   969.00445928876593        241.43728197464139       0.27068255337597197      -0.57285091038034619       -1.4800885540369957       0.81466826403162385       0.16629688987069535        1.9034846097679380E-002
 SOL           4           3   981.00144001054400        225.46565493616475       0.22421983523682959      -0.41414806512118146       -1.1151118837369207       0.77768244637394646       0.19489823087141570        2.7419322754637709E-002
 SOL           4           3   991.16159824516421        211.92643599707870       0.17504191839271566      -0.28395703570660541      -0.79831530936099282       0.74036281560082362       0.22199804128164161        3.7639143117549574E-002
 SOL           6           3   1000.6263975112868        199.27581988545040       0.11910037241078868      -0.16873290496998528      -0.49831530489064446       0.70008293837329227       0.24910953255341281        5.0807529073965345E-002
 SOL          30           3   1010.0120201864245        186.65322377278127        5.1912925261574150E-002  -6.3238187897720982E-002 -0.19831530042029610       0.65459149169471109       0.27682551738707289        6.8582990918255829E-002
 SOL          31           3   1011.1840292390588        185.06858438799100        4.2594181997465848E-002  -5.0849118505645406E-002 -0.16081529986150256       0.64851985558760084       0.28027646078000723        7.1203684006875226E-002
 SOL           3           3   1011.5243494643432        184.60800936970213        3.9846974278296803E-002  -4.7288498467207438E-002 -0.14992820292507864       0.64674068183320632       0.28127619754772426        7.1983120619067767E-002
 SOL           4           3   1012.5455252385558        183.22474647425327        3.1490181239233021E-002  -3.6706457686351404E-002 -0.11726691211580684       0.64135852391741022       0.28426847803512206        7.4372998047466249E-002
 SOL         494           3   1018.6902685226788        174.85488930496115       -2.2521056151674334E-002   2.3434918954504801E-002   7.8700832739823950E-002  0.60763682904701222       0.30188933609192398        9.0473834861449443E-002
  
  
 #liquid
